epoch,accuracy,loss,val_accuracy,val_loss
0,0.6928743,0.5655906134181552,0.7560976147651672,0.4650680297866208
1,0.7910409,0.40227959953425474,0.8554653525352478,0.3016161877988369
2,0.86988693,0.2758811395463905,0.9194219708442688,0.19038833679114792
3,0.9328871,0.16994407064660436,0.9629629850387573,0.11645090189621916
4,0.9641002,0.10679889196806427,0.9777776598930359,0.07572410798815854
5,0.97717166,0.07488839919061993,0.9806684255599976,0.07074557742829138
6,0.98109376,0.061493061585867,0.9821138978004456,0.06410173976216751
7,0.9844411,0.05121705483003237,0.9813910722732544,0.06861323530111856
8,0.98896825,0.03806757081193719,0.9826557636260986,0.06632728835646914
9,0.9886496,0.03634120421785497,0.982294499874115,0.06638149655985208
10,0.98931897,0.03593393696784419,0.982294499874115,0.06655863070121841
11,0.9890958,0.03644703870908521,0.982294499874115,0.06658224018447122
12,0.9894468,0.034657408846546695,0.982294499874115,0.0665864430118921
13,0.9899568,0.03499138932963146,0.982294499874115,0.06658552706833885
14,0.9894149,0.03455039971312501,0.982294499874115,0.06658545829685507
0,0.69277334,0.546054911412449,0.7834689617156982,0.4329653910505093
1,0.8921106,0.2596906740683922,0.9756097793579102,0.10099231171091075
2,0.9759409,0.08527530310913871,0.982113778591156,0.06850327781924023
3,0.98419154,0.059335511033074106,0.9823847413063049,0.06526600445815056
4,0.9873829,0.044515579998621074,0.9823847413063049,0.06353813639796543
5,0.98976207,0.036462180702325916,0.9818426966667175,0.06697339751962118
6,0.99325424,0.025844177622118113,0.9848238229751587,0.06457037984319082
7,0.9939172,0.024091518490155443,0.9850948452949524,0.06467201481201007
8,0.9939472,0.023887662188416682,0.9850948452949524,0.06474704969422589
9,0.9934356,0.024956828749687313,0.9850948452949524,0.06476662857590501
10,0.99397737,0.023158261781287496,0.9850948452949524,0.06477353738940783
11,0.9934957,0.0239408272179727,0.9850948452949524,0.06477305391310591
12,0.9940677,0.023562747371534166,0.9850948452949524,0.06477303649608025
13,0.99328494,0.024325025656300653,0.9850948452949524,0.06477313277375983
14,0.9938871,0.023576640258258553,0.9850948452949524,0.06477323122042405
